topic,essay,label,reason
Should animals have legal rights,I enjoy listening to music daily.,irrelevant,Wrong topic
Should animals have legal rights,The floor is very cold.,irrelevant,Off-topic
Should animals have legal rights,My aunt is a pilot.,irrelevant,Unrelated

Impact of noise pollution on health,Noise pollution causes stress and hearing loss.,relevant,Addresses the topic
Impact of noise pollution on health,Cities need better noise regulations.,relevant,Relevant discussion
Impact of noise pollution on health,Loud environments affect sleep quality.,relevant,Relevant answer
Impact of noise pollution on health,I like playing tennis in summer.,irrelevant,Wrong topic
Impact of noise pollution on health,The lamp is very bright.,irrelevant,Off-topic
Impact of noise pollution on health,My cousin is a businessman.,irrelevant,Unrelated

Importance of early cancer detection,Early detection improves cancer survival rates.,relevant,Addresses the topic
Importance of early cancer detection,Screening programs save many lives.,relevant,Relevant discussion
Importance of early cancer detection,Public awareness about symptoms is vital.,relevant,Relevant answer
Importance of early cancer detection,I enjoy camping in the mountains.,irrelevant,Wrong topic
Importance of early cancer detection,The road is very bumpy.,irrelevant,Off-topic
Importance of early cancer detection,My sister is a lawyer.,irrelevant,Unrelated

Should countries increase foreign aid,Foreign aid helps developing countries grow.,relevant,Addresses the topic
Should countries increase foreign aid,International assistance reduces global poverty.,relevant,Relevant discussion
Should countries increase foreign aid,Aid should be spent responsibly.,relevant,Relevant answer
Should countries increase foreign aid,I like reading science fiction books.,irrelevant,Wrong topic
Should countries increase foreign aid,The tree is very green.,irrelevant,Off-topic
Should countries increase foreign aid,My uncle is a mechanic.,irrelevant,Unrelated

Benefits of outdoor recreation,Outdoor activities improve physical fitness.,relevant,Addresses the topic
Benefits of outdoor recreation,Nature reduces stress and anxiety.,relevant,Relevant discussion
Benefits of outdoor recreation,Spending time outdoors is refreshing.,relevant,Relevant answer
Benefits of outdoor recreation,I like eating fruit salads.,irrelevant,Wrong topic
Benefits of outdoor recreation,The window is very clean.,irrelevant,Off-topic
Benefits of outdoor recreation,My brother is a nurse.,irrelevant,Unrelated

Should gambling be restricted,Gambling causes addiction and financial ruin.,relevant,Addresses the topic
Should gambling be restricted,Government regulation prevents harm.,relevant,Relevant discussion
Should gambling be restricted,Online gambling needs stricter laws.,relevant,Relevant answer
Should gambling be restricted,I like dancing at parties.,irrelevant,Wrong topic
Should gambling be restricted,The carpet is very soft.,irrelevant,Off-topic
Should gambling be restricted,My cousin is a teacher.,irrelevant,Unrelated

Advantages of adopting a pet,Pet adoption gives animals a loving home.,relevant,Addresses the topic
Advantages of adopting a pet,Pets reduce stress and loneliness.,relevant,Relevant discussion
Advantages of adopting a pet,Rescue animals make wonderful companions.,relevant,Relevant answer
Advantages of adopting a pet,I like watching news on TV.,irrelevant,Wrong topic
Advantages of adopting a pet,The door is very heavy.,irrelevant,Off-topic
Advantages of adopting a pet,My aunt is a doctor.,irrelevant,Unrelated

Should governments provide free childcare,Free childcare supports working parents.,relevant,Addresses the topic
Should governments provide free childcare,Childcare costs burden many families.,relevant,Relevant discussion
Should governments provide free childcare,Quality care benefits child development.,relevant,Relevant answer
Should governments provide free childcare,I enjoy painting with watercolors.,irrelevant,Wrong topic
Should governments provide free childcare,The glass is very clean.,irrelevant,Off-topic
Should governments provide free childcare,My uncle is a businessman.,irrelevant,Unrelated

Should governments subsidize renewable energy,Renewable subsidies reduce fossil fuel dependence.,relevant,Addresses the topic
Should governments subsidize renewable energy,Solar and wind energy need government support.,relevant,Relevant discussion
Should governments subsidize renewable energy,Green energy creates sustainable employment.,relevant,Relevant answer
Should governments subsidize renewable energy,I like watching sitcoms on TV.,irrelevant,Wrong topic
Should governments subsidize renewable energy,The floor is very dusty.,irrelevant,Off-topic
Should governments subsidize renewable energy,My cousin is a dentist.,irrelevant,Unrelated

Importance of gender equality in education,Equal education empowers women and girls.,relevant,Addresses the topic
Importance of gender equality in education,Gender parity improves economic outcomes.,relevant,Relevant discussion
Importance of gender equality in education,Education reduces gender discrimination.,relevant,Relevant answer
Importance of gender equality in education,I enjoy playing video games online.,irrelevant,Wrong topic
Importance of gender equality in education,The lamp is very bright today.,irrelevant,Off-topic
Importance of gender equality in education,My brother is a businessman.,irrelevant,Unrelated

Should companies adopt 4-day work weeks,Four-day weeks improve employee productivity.,relevant,Addresses the topic
Should companies adopt 4-day work weeks,Shorter weeks boost worker morale.,relevant,Relevant discussion
Should companies adopt 4-day work weeks,Reduced hours promote better health.,relevant,Relevant answer
Should companies adopt 4-day work weeks,I like watching soccer matches.,irrelevant,Wrong topic
Should companies adopt 4-day work weeks,The wall is painted yellow.,irrelevant,Off-topic
Should companies adopt 4-day work weeks,My uncle is a lawyer.,irrelevant,Unrelated

Effects of deforestation on climate change,Deforestation releases carbon into the atmosphere.,relevant,Addresses the topic
Effects of deforestation on climate change,Loss of forests accelerates global warming.,relevant,Relevant discussion
Effects of deforestation on climate change,Protecting forests is climate action.,relevant,Relevant answer
Effects of deforestation on climate change,I love cooking spicy food.,irrelevant,Wrong topic
Effects of deforestation on climate change,The carpet is very dirty.,irrelevant,Off-topic
Effects of deforestation on climate change,My sister is a mechanic.,irrelevant,Unrelated

Benefits of learning to code,Coding skills are valuable for careers.,relevant,Addresses the topic
Benefits of learning to code,Programming improves logical thinking.,relevant,Relevant discussion
Benefits of learning to code,Technology skills prepare for the future.,relevant,Relevant answer
Benefits of learning to code,I like playing tennis outside.,irrelevant,Wrong topic
Benefits of learning to code,The road is very curvy.,irrelevant,Off-topic
Benefits of learning to code,My aunt is a doctor.,irrelevant,Unrelated

Should governments raise the retirement age,Raising retirement age supports pension systems.,relevant,Addresses the topic
Should governments raise the retirement age,People work longer to fund retirement.,relevant,Relevant discussion
Should governments raise the retirement age,Older workers bring valuable experience.,relevant,Relevant answer
Should governments raise the retirement age,I enjoy hiking on nature trails.,irrelevant,Wrong topic
Should governments raise the retirement age,The chair is very small.,irrelevant,Off-topic
Should governments raise the retirement age,My cousin is a teacher.,irrelevant,Unrelated

Advantages of taking up gardening,Gardening provides fresh organic vegetables.,relevant,Addresses the topic
Advantages of taking up gardening,Gardening reduces stress and improves mood.,relevant,Relevant discussion
Advantages of taking up gardening,Plants beautify homes and surroundings.,relevant,Relevant answer
Advantages of taking up gardening,I like watching thriller movies.,irrelevant,Wrong topic
Advantages of taking up gardening,The window is very dirty.,irrelevant,Off-topic
Advantages of taking up gardening,My brother is a pilot.,irrelevant,Unrelated

Should social media platforms verify identity,Identity verification reduces fake accounts.,relevant,Addresses the topic
Should social media platforms verify identity,Verified users are more accountable.,relevant,Relevant discussion
Should social media platforms verify identity,Privacy concerns arise with verification.,relevant,Relevant answer
Should social media platforms verify identity,I like painting in my free time.,irrelevant,Wrong topic
Should social media platforms verify identity,The tree is very old and tall.,irrelevant,Off-topic
Should social media platforms verify identity,My uncle is a businessman.,irrelevant,Unrelated

Impact of globalization on job market,Globalization creates international job opportunities.,relevant,Addresses the topic
Impact of globalization on job market,Offshoring affects local employment rates.,relevant,Relevant discussion
Impact of globalization on job market,Workers must adapt to global demands.,relevant,Relevant answer
Impact of globalization on job market,I enjoy listening to podcasts daily.,irrelevant,Wrong topic
Impact of globalization on job market,The floor is very slippery.,irrelevant,Off-topic
Impact of globalization on job market,My sister is a nurse.,irrelevant,Unrelated

Importance of drinking enough water,Water is essential for body functions.,relevant,Addresses the topic
Importance of drinking enough water,Hydration prevents health problems.,relevant,Relevant discussion
Importance of drinking enough water,Staying hydrated improves concentration.,relevant,Relevant answer
Importance of drinking enough water,I like reading mystery books.,irrelevant,Wrong topic
Importance of drinking enough water,The door is very heavy.,irrelevant,Off-topic
Importance of drinking enough water,My cousin is a mechanic.,irrelevant,Unrelated

Should governments invest in high-speed rail,Rail transport reduces road congestion.,relevant,Addresses the topic
Should governments invest in high-speed rail,High-speed trains are eco-friendly.,relevant,Relevant discussion
Should governments invest in high-speed rail,Rail networks boost regional economies.,relevant,Relevant answer
Should governments invest in high-speed rail,I like eating sushi sometimes.,irrelevant,Wrong topic
Should governments invest in high-speed rail,The glass is very dusty.,irrelevant,Off-topic
Should governments invest in high-speed rail,My aunt is a teacher.,irrelevant,Unrelated

Benefits of practicing yoga,Yoga improves flexibility and balance.,relevant,Addresses the topic
Benefits of practicing yoga,Regular yoga reduces stress levels.,relevant,Relevant discussion
Benefits of practicing yoga,Yoga promotes mental clarity and peace.,relevant,Relevant answer
Benefits of practicing yoga,I like playing board games.,irrelevant,Wrong topic
Benefits of practicing yoga,The lamp is very dimly lit.,irrelevant,Off-topic
Benefits of practicing yoga,My father is a businessman.,irrelevant,Unrelated

Should schools ban sugary drinks,Sugary drinks cause obesity in children.,relevant,Addresses the topic
Should schools ban sugary drinks,Healthy drinks should be promoted.,relevant,Relevant discussion
Should schools ban sugary drinks,Banning soda improves student health.,relevant,Relevant answer
Should schools ban sugary drinks,I enjoy singing with my friends.,irrelevant,Wrong topic
Should schools ban sugary drinks,The table is very colorful.,irrelevant,Off-topic
Should schools ban sugary drinks,My brother is a lawyer.,irrelevant,Unrelated

Effects of screen time on eyesight,Too much screen time damages eyesight.,relevant,Addresses the topic
Effects of screen time on eyesight,Digital eye strain affects many people.,relevant,Relevant discussion
Effects of screen time on eyesight,Taking breaks prevents vision problems.,relevant,Relevant answer
Effects of screen time on eyesight,I like playing cricket outside.,irrelevant,Wrong topic
Effects of screen time on eyesight,The carpet is very soft.,irrelevant,Off-topic
Effects of screen time on eyesight,My cousin is a doctor.,irrelevant,Unrelated

Importance of preserving indigenous languages,Indigenous languages carry cultural knowledge.,relevant,Addresses the topic
Importance of preserving indigenous languages,Language loss affects community identity.,relevant,Relevant discussion
Importance of preserving indigenous languages,Revival programs protect dying languages.,relevant,Relevant answer
Importance of preserving indigenous languages,I like watching anime shows.,irrelevant,Wrong topic
Importance of preserving indigenous languages,The river is very wide.,irrelevant,Off-topic
Importance of preserving indigenous languages,My uncle is a nurse.,irrelevant,Unrelated

Should governments limit car ownership,Reducing car numbers cuts pollution.,relevant,Addresses the topic
Should governments limit car ownership,Car limits improve urban living.,relevant,Relevant discussion
Should governments limit car ownership,Public transport becomes more important.,relevant,Relevant answer
Should governments limit car ownership,I enjoy cycling with friends.,irrelevant,Wrong topic
Should governments limit car ownership,The wall is very high.,irrelevant,Off-topic
Should governments limit car ownership,My sister is a teacher.,irrelevant,Unrelated

Advantages of learning a new language,Bilingualism enhances brain function.,relevant,Addresses the topic
Advantages of learning a new language,Learning languages opens career paths.,relevant,Relevant discussion
Advantages of learning a new language,Travel becomes more enjoyable.,relevant,Relevant answer
Advantages of learning a new language,I like baking cakes on weekends.,irrelevant,Wrong topic
Advantages of learning a new language,The chair is very comfortable.,irrelevant,Off-topic
Advantages of learning a new language,My brother is a mechanic.,irrelevant,Unrelated

Should euthanasia be legalized,Patients deserve control over their death.,relevant,Addresses the topic
Should euthanasia be legalized,Legal euthanasia ends unnecessary suffering.,relevant,Relevant discussion
Should euthanasia be legalized,Strong regulations are needed for safety.,relevant,Relevant answer
Should euthanasia be legalized,I like drawing illustrations often.,irrelevant,Wrong topic
Should euthanasia be legalized,The window is very clean.,irrelevant,Off-topic
Should euthanasia be legalized,My aunt is a pilot.,irrelevant,Unrelated

Impact of tourism on environment,Tourism causes environmental degradation.,relevant,Addresses the topic
Impact of tourism on environment,Natural habitats suffer from tourism.,relevant,Relevant discussion
Impact of tourism on environment,Sustainable tourism protects ecosystems.,relevant,Relevant answer
Impact of tourism on environment,I like watching wildlife documentaries.,irrelevant,Wrong topic
Impact of tourism on environment,The floor is very clean.,irrelevant,Off-topic
Impact of tourism on environment,My cousin is a businessman.,irrelevant,Unrelated

Importance of staying socially connected,Social connections reduce loneliness.,relevant,Addresses the topic
Importance of staying socially connected,Friendships improve mental health.,relevant,Relevant discussion
Importance of staying socially connected,Community involvement builds support networks.,relevant,Relevant answer
Importance of staying socially connected,I enjoy fishing on weekends.,irrelevant,Wrong topic
Importance of staying socially connected,The tree is very green.,irrelevant,Off-topic
Importance of staying socially connected,My uncle is a lawyer.,irrelevant,Unrelated

Should governments ban smoking in public,Public smoking bans protect non-smokers.,relevant,Addresses the topic
Should governments ban smoking in public,Secondhand smoke causes health issues.,relevant,Relevant discussion
Should governments ban smoking in public,Smoke-free zones improve air quality.,relevant,Relevant answer
Should governments ban smoking in public,I like playing darts with friends.,irrelevant,Wrong topic
Should governments ban smoking in public,The carpet is very colorful.,irrelevant,Off-topic
Should governments ban smoking in public,My sister is a doctor.,irrelevant,Unrelated

Benefits of setting personal goals,Goals give direction and motivation.,relevant,Addresses the topic
Benefits of setting personal goals,Achieving goals builds self-confidence.,relevant,Relevant discussion
Benefits of setting personal goals,Goal-setting improves time management.,relevant,Relevant answer
Benefits of setting personal goals,I like listening to radio music.,irrelevant,Wrong topic
Benefits of setting personal goals,The door is very wide.,irrelevant,Off-topic
Benefits of setting personal goals,My brother is a nurse.,irrelevant,Unrelated

Should celebrities have privacy rights,Celebrities deserve personal privacy too.,relevant,Addresses the topic
Should celebrities have privacy rights,Media scrutiny harms mental health.,relevant,Relevant discussion
Should celebrities be public figures,Privacy rights should apply to everyone.,relevant,Relevant answer
Should celebrities have privacy rights,I enjoy cooking desserts frequently.,irrelevant,Wrong topic
Should celebrities have privacy rights,The lamp is very bright.,irrelevant,Off-topic
Should celebrities have privacy rights,My cousin is a mechanic.,irrelevant,Unrelated

Advantages of attending live concerts,Live concerts create memorable experiences.,relevant,Addresses the topic
Advantages of attending live concerts,Concert energy is uplifting and exciting.,relevant,Relevant discussion
Advantages of attending live concerts,Music brings people together joyfully.,relevant,Relevant answer
Advantages of attending live concerts,I like walking in the evenings.,irrelevant,Wrong topic
Advantages of attending live concerts,The glass is very shiny.,irrelevant,Off-topic
Advantages of attending live concerts,My aunt is a teacher.,irrelevant,Unrelated

Should governments control food prices,Price controls ensure food affordability.,relevant,Addresses the topic
Should governments control food prices,Affordable food reduces poverty levels.,relevant,Relevant discussion
Should governments control food prices,Free markets may regulate prices better.,relevant,Relevant answer
Should governments control food prices,I like playing volleyball sometimes.,irrelevant,Wrong topic
Should governments control food prices,The road is very smooth.,irrelevant,Off-topic
Should governments control food prices,My uncle is a businessman.,irrelevant,Unrelated
